"admUnitTwoId","name","admUnitOneId"
"1004","BARGUNA","10"
"1006","BARISAL","10"
"1009","BHOLA","10"
"1042","JHALOKATI","10"
"1078","PATUAKHALI","10"
"1079","PIROJPUR","10"
"2003","BANDARBAN","20"
"2012","BRAHMANBARIA","20"
"2013","CHANDPUR","20"
"2015","CHITTAGONG","20"
"2019","COMILLA","20"
"2022","COX'S BAZAR","20"
"2030","FENI","20"
"2046","KHAGRACHHARI","20"
"2051","LAKSHMIPUR","20"
"2075","NOAKHALI","20"
"2084","RANGAMATI","20"
"3026","DHAKA","30"
"3029","FARIDPUR","30"
"3033","GAZIPUR","30"
"3035","GOPALGANJ","30"
"3039","JAMALPUR","30"
"3048","KISHOREGONJ","30"
"3054","MADARIPUR","30"
"3056","MANIKGANJ","30"
"3059","MUNSHIGANJ","30"
"3061","MYMENSINGH","30"
"3067","NARAYANGANJ","30"
"3068","NARSINGDI","30"
"3072","NETRAKONA","30"
"3082","RAJBARI","30"
"3086","SHARIATPUR","30"
"3089","SHERPUR","30"
"3093","TANGAIL","30"
"4001","BAGERHAT","40"
"4018","CHUADANGA","40"
"4041","JESSORE","40"
"4044","JHENAIDAH","40"
"4047","KHULNA","40"
"4050","KUSHTIA","40"
"4055","MAGURA","40"
"4057","MEHERPUR","40"
"4065","NARAIL","40"
"4087","SATKHIRA","40"
"5010","BOGRA","50"
"5038","JOYPURHAT","50"
"5064","NAOGAON","50"
"5069","NATORE","50"
"5070","CHAPAI NABABGANJ","50"
"5076","PABNA","50"
"5081","RAJSHAHI","50"
"5088","SIRAJGANJ","50"
"5527","DINAJPUR","55"
"5532","GAIBANDHA","55"
"5549","KURIGRAM","55"
"5552","LALMONIRHAT","55"
"5573","NILPHAMARI ZILA","55"
"5577","PANCHAGARH","55"
"5585","RANGPUR","55"
"5594","THAKURGAON","55"
"6036","HABIGANJ","60"
"6058","MAULVIBAZAR","60"
"6090","SUNAMGANJ","60"
"6091","SYLHET","60"
